epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,599.884,0.93381,0.60645,0.97804,0.96712,0.95945,0.98513,0.7802,0.80423,0.50193,0.9331,0.000451066,0.000451066,0.000451066
92,606.934,0.93086,0.59682,0.98073,0.95987,0.98525,0.98643,0.75063,0.8826,0.49109,0.95026,0.000443733,0.000443733,0.000443733
93,614.042,0.93515,0.597,0.9777,0.98848,0.97234,0.98611,0.78756,0.76644,0.46206,0.92608,0.000436401,0.000436401,0.000436401
94,621.06,0.9095,0.59137,0.98045,0.98676,0.97252,0.98643,0.76809,0.80472,0.47237,0.92748,0.000429068,0.000429068,0.000429068
95,628.106,0.93825,0.59842,0.97818,0.9835,0.97492,0.98643,0.77469,0.78547,0.4681,0.92129,0.000421736,0.000421736,0.000421736
96,635.247,0.92226,0.58234,0.97652,0.98192,0.97523,0.98603,0.74482,0.87858,0.4792,0.94653,0.000414403,0.000414403,0.000414403
97,642.361,0.91644,0.59421,0.95914,0.96804,0.98169,0.98613,0.76889,0.84095,0.4789,0.94195,0.00040707,0.00040707,0.00040707
98,649.421,0.90971,0.58322,0.96585,0.96757,0.9822,0.98603,0.79644,0.72787,0.47546,0.91328,0.000399738,0.000399738,0.000399738
99,656.475,0.92461,0.57099,0.97073,0.95337,0.97548,0.98581,0.77643,0.77759,0.48031,0.92344,0.000392405,0.000392405,0.000392405
100,663.475,0.89636,0.57198,0.9546,0.96253,0.9883,0.98591,0.76663,0.80764,0.47106,0.92749,0.000385073,0.000385073,0.000385073
101,670.543,0.91075,0.55988,0.96299,0.95807,0.98836,0.98543,0.77807,0.77733,0.47898,0.91756,0.00037774,0.00037774,0.00037774
102,677.496,0.86303,0.5524,0.9522,0.95054,0.98527,0.985,0.74908,0.90683,0.49449,0.94298,0.000370407,0.000370407,0.000370407
103,684.47,0.8386,0.53686,0.94484,0.94049,0.98492,0.97781,0.7527,0.86649,0.48882,0.94102,0.000363075,0.000363075,0.000363075
104,691.454,0.92384,0.56669,0.96234,0.96523,0.97865,0.98523,0.77804,0.80185,0.47345,0.93271,0.000355742,0.000355742,0.000355742
105,698.435,0.89017,0.55503,0.95849,0.99484,0.97347,0.98656,0.721,0.97636,0.49143,0.97817,0.00034841,0.00034841,0.00034841
106,705.45,0.90083,0.55491,0.95911,0.97277,0.98914,0.98626,0.79,0.72775,0.45177,0.92029,0.000341077,0.000341077,0.000341077
107,712.448,0.87453,0.53353,0.96339,0.97278,0.98145,0.98635,0.72896,0.95099,0.47552,0.95504,0.000333744,0.000333744,0.000333744
108,719.453,0.92612,0.54589,0.95811,0.97654,0.98335,0.98656,0.81255,0.66702,0.42621,0.89804,0.000326412,0.000326412,0.000326412
109,726.517,0.93273,0.57408,0.98555,0.9685,0.98728,0.98635,0.82793,0.6132,0.42273,0.89333,0.000319079,0.000319079,0.000319079
110,733.592,0.89909,0.5526,0.95981,0.98456,0.97673,0.98656,0.77706,0.77563,0.44456,0.91847,0.000311747,0.000311747,0.000311747
111,740.612,0.88753,0.56229,0.95999,0.98821,0.9653,0.98657,0.81286,0.66249,0.44186,0.8965,0.000304414,0.000304414,0.000304414
112,747.672,0.9092,0.56123,0.96577,0.99115,0.96779,0.98678,0.77925,0.78824,0.45498,0.91111,0.000297081,0.000297081,0.000297081
113,754.77,0.91228,0.56958,0.95567,0.97499,0.97628,0.98657,0.79273,0.74687,0.44391,0.90461,0.000289749,0.000289749,0.000289749
114,761.895,0.82146,0.53261,0.93935,0.98169,0.97688,0.98657,0.79168,0.77431,0.44576,0.90825,0.000282416,0.000282416,0.000282416
115,768.988,0.88727,0.54415,0.95056,0.96866,0.97727,0.98534,0.80941,0.70302,0.43462,0.89928,0.000275084,0.000275084,0.000275084
116,775.992,0.84512,0.52127,0.94009,0.96696,0.97403,0.98553,0.79029,0.74731,0.43382,0.90383,0.000267751,0.000267751,0.000267751
117,782.945,0.88357,0.55062,0.95824,0.9791,0.96977,0.98553,0.79653,0.74924,0.42972,0.90275,0.000260418,0.000260418,0.000260418
118,789.942,0.85701,0.51874,0.94373,0.9742,0.97753,0.98565,0.7999,0.70525,0.41905,0.89596,0.000253086,0.000253086,0.000253086
